Date,Close/Last,Volume,Open,High,Low
12/01/2021,$54.68,59849360,$52.47,$55.17,$51.86
11/30/2021,$53.73,64598390,$52.31,$54.46,$51.91
11/29/2021,$52.4,72660760,$55.15,$55.7,$52.11
11/26/2021,$54,66561300,$54.035,$54.94,$53.25
11/24/2021,$50.89,18556750,$51.18,$51.33,$50.705
11/23/2021,$51.08,24952590,$50.58,$51.45,$50.3
11/22/2021,$51.2,27287940,$50.95,$51.47,$50.38
11/19/2021,$50.8,47966180,$51.96,$52.835,$50.68
11/18/2021,$51.41,32872570,$51.1,$51.71,$50.61
11/17/2021,$50.87,36889770,$49.94,$51.09,$49.685
11/16/2021,$49.6,31297220,$49.47,$50.16,$48.89
11/15/2021,$49.65,27763220,$49.73,$50.1,$49.37
11/12/2021,$49.73,27780570,$50.42,$50.49,$49.57
11/11/2021,$50.18,42370390,$49.23,$50.5,$48.733
11/10/2021,$49.02,42696200,$47.4,$49.21,$47.4
11/09/2021,$47.3,29920440,$48.33,$48.38,$47.15
11/08/2021,$48.33,57423270,$48.61,$48.785,$47.6
11/05/2021,$48.61,173959100,$48.09,$48.8099,$46.55
11/04/2021,$43.85,38172540,$44.29,$44.47,$43.305
11/03/2021,$44.82,44593140,$45.52,$45.99,$44.48
11/02/2021,$45.45,69247980,$45.075,$46.04,$43.05
11/01/2021,$43.64,32681520,$44.14,$44.29,$43.44
10/29/2021,$43.74,30307490,$43.09,$43.83,$42.855
10/28/2021,$43.18,18023410,$42.95,$43.67,$42.94
10/27/2021,$42.97,22317480,$43.46,$43.5599,$42.68
10/26/2021,$43.56,29729050,$43.33,$43.76,$42.92
10/25/2021,$43.15,22846240,$43.2,$43.24,$42.57
10/22/2021,$43.16,17183010,$42.82,$43.19,$42.63
10/21/2021,$42.86,22142320,$43.055,$43.09,$42.43
10/20/2021,$42.8,22788280,$42.12,$43.11,$42.1
10/19/2021,$42.09,17159790,$41.6,$42.2,$41.5418
10/18/2021,$41.32,21732990,$41.45,$41.7,$41.04
10/15/2021,$41.49,23550340,$41.9,$42.03,$41.38
10/14/2021,$41.67,17590310,$41.56,$41.9565,$41.515
10/13/2021,$41.42,28205720,$41.75,$41.91,$40.94
10/12/2021,$41.85,16222300,$42.16,$42.21,$41.66
10/11/2021,$42.06,11984160,$42.45,$42.62,$42.01
10/08/2021,$42.45,12778600,$42.73,$42.905,$42.34
10/07/2021,$42.74,19778300,$42.52,$42.96,$42.21
10/06/2021,$42.02,30483840,$42.06,$42.2,$41.69
10/05/2021,$42.32,19342560,$42.53,$42.79,$42.28
10/04/2021,$42.42,28906550,$42.93,$43.345,$42.21
10/01/2021,$42.93,38483000,$42.52,$43.095,$41.7
09/30/2021,$43.01,21112580,$43.79,$44.05,$42.97
09/29/2021,$43.53,18037240,$43.22,$43.69,$43.08
09/28/2021,$43.04,28512220,$43.07,$43.28,$42.43
09/27/2021,$43.57,19955900,$43.92,$44.13,$43.51
09/24/2021,$43.94,16150750,$44.07,$44.41,$43.81
09/23/2021,$44.19,19719170,$44.28,$44.719,$44.15
09/22/2021,$43.95,22616740,$43.99,$44.39,$43.83
09/21/2021,$43.92,23645590,$44.25,$44.73,$43.85
09/20/2021,$44.2,41873020,$43.39,$44.65,$43.39
09/17/2021,$43.89,56420690,$44.17,$44.46,$43.31
09/16/2021,$44.47,22424170,$44.88,$44.99,$44.03
09/15/2021,$44.77,28674630,$44.56,$45.365,$44.47
09/14/2021,$44.71,24100220,$44.67,$45.26,$44.545
09/13/2021,$44.58,37086230,$45.74,$45.83,$44.2
09/10/2021,$45.59,20801500,$46.27,$46.35,$45.51
09/09/2021,$46.03,21695320,$46.47,$46.7182,$45.85
09/08/2021,$46.51,15839630,$46.51,$46.79,$46.25
09/07/2021,$46.75,26236850,$46.99,$47.5,$46.54
09/03/2021,$46.84,20834760,$46.9,$47.03,$46.3431
09/02/2021,$46.84,26149360,$46.48,$46.87,$46.13
09/01/2021,$46.04,32900110,$46.19,$46.2595,$45.42
08/31/2021,$46.07,34547830,$46.72,$47.14,$45.9318
